ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
22130,HY444338,9/30/15,015XX N HARDING AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2535,25,30,23,01A,1149764,1909990,2015,10/9/15 15:58,41.90892826,-87.72527428,"(41.908928255, -87.725274277)"
22129,HY444358,9/30/15,107XX S EGGLESTON AVE,110,HOMICIDE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,2233,22,34,49,01A,1175194,1833638,2015,10/9/15 15:58,41.69887828,-87.63413845,"(41.698878276, -87.634138449)"
22128,HY443182,9/29/15,072XX S EXCHANGE AVE,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,FALSE,FALSE,334,3,7,43,01A,1193952,1857506,2015,10/9/15 15:58,41.76393581,-87.56467602,"(41.763935813, -87.564676016)"
22127,HY442430,9/29/15,003XX W 42ND ST,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,925,9,3,37,01A,1174451,1877100,2015,10/9/15 15:58,41.81815976,-87.63556819,"(41.818159764, -87.635568188)"
22125,HY442430,9/29/15,003XX W 42ND ST,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,925,9,3,37,01A,1174451,1877100,2015,10/9/15 15:58,41.81815976,-87.63556819,"(41.818159764, -87.635568188)"
22126,HY442430,9/29/15,003XX W 42ND ST,110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,925,9,3,37,01A,1174451,1877100,2015,10/9/15 15:58,41.81815976,-87.63556819,"(41.818159764, -87.635568188)"
22122,HY442160,9/28/15,053XX S ABERDEEN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,934,9,16,61,01A,1169890,1869399,2015,10/9/15 15:58,41.79712782,-87.65252315,"(41.797127818, -87.652523151)"
22123,HY442160,9/28/15,053XX S ABERDEEN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,934,9,16,61,01A,1169890,1869399,2015,10/9/15 15:58,41.79712782,-87.65252315,"(41.797127818, -87.652523151)"
22124,HY441412,9/28/15,001XX N KEDZIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1222,12,27,27,01A,1155029,1900649,2015,10/9/15 15:58,41.88319163,-87.70618385,"(41.883191631, -87.706183852)"
22121,HY439941,9/27/15,096XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2223,22,21,73,01A,1171350,1840820,2015,10/9/15 15:58,41.71867154,-87.64800406,"(41.718671544, -87.64800406)"
22120,HY440415,9/27/15,039XX W ROOSEVELT RD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1132,11,24,29,01A,1150330,1894421,2015,10/9/15 15:58,41.86619423,-87.72360143,"(41.866194233, -87.723601432)"
22119,HY439900,9/27/15,011XX W 18TH ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1235,12,25,31,01A,1169201,1891572,2015,10/9/15 15:58,41.85798765,-87.65440722,"(41.857987652, -87.65440722)"
22117,HY439020,9/26/15,007XX E 47TH ST,110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,TRUE,FALSE,223,2,4,38,01A,1182174,1874015,2015,10/9/15 15:58,41.8095187,-87.6073336,"(41.809518699, -87.607333603)"
22116,HY437443,9/25/15,121XX S BISHOP ST,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,FALSE,TRUE,524,5,34,53,01A,1168861,1824253,2015,10/9/15 15:58,41.67326301,-87.65759646,"(41.673263009, -87.657596463)"
22115,HY436629,9/24/15,030XX S MICHIGAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,133,1,2,35,01A,1177743,1884647,2015,10/9/15 15:58,41.83879534,-87.62326333,"(41.838795341, -87.623263328)"
22113,HY435847,9/24/15,092XX S UNIVERSITY AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,413,4,8,47,01A,1185490,1843990,2015,10/9/15 15:58,41.72704984,-87.59611516,"(41.727049838, -87.596115157)"
22114,HY429076,9/23/15,055XX W CONGRESS PKWY,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1522,15,29,25,01A,1139504,1897134,2015,9/30/15 15:35,41.8738432,-87.76327898,"(41.873843195, -87.763278976)"
22112,HY433852,9/22/15,092XX S COTTAGE GROVE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,633,6,8,44,01A,1183184,1843681,2015,9/30/15 15:35,41.72625579,-87.60457183,"(41.726255791, -87.604571828)"
10244875,HY433114,9/22/15,058XX S PULASKI RD,130,HOMICIDE,SECOND DEGREE MURDER,STREET,FALSE,FALSE,813,8,13,62,01A,1150707,1865354,2015,9/30/15 15:35,41.78642309,-87.72297551,"(41.786423093, -87.722975512)"
22111,HY432757,9/21/15,055XX W POTOMAC AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,2532,25,37,25,01A,1139085,1908108,2015,9/30/15 15:35,41.90396486,-87.76455029,"(41.903964862, -87.764550294)"
